"","ID","Red_list_category","Latitude","Longitude","temperate_or_tropical","System","Primary_threat","year","Abundance"
"641724",61,"LC",-34.05,20.45,"Tropical","Terrestrial","Invasive spp/genes",1993,220
"641760",25,"EN",-20.40444,57.42667,"Tropical","Terrestrial","Habitat loss",1993,23
"641780",5,"EN",-20.3,57.58333,"Tropical","Terrestrial","Pollution",1993,26
"655905",467,"LC",53.87083,9.00389,"Temperate","Freshwater","Habitat degradation/change",1994,87
"655906",466,"LC",53.87083,9.00389,"Temperate","Freshwater","Habitat degradation/change",1994,87
"655965",407,"VU",47,20,"Temperate","Terrestrial","Habitat degradation/change",1994,1021
"656005",367,"LC",40.16667,-0.16667,"Temperate","Terrestrial","Exploitation",1994,28
"656006",366,"LC",38,-1.5,"Temperate","Terrestrial","Exploitation",1994,17
"656007",365,"LC",41.25,1.58333,"Temperate","Terrestrial","Exploitation",1994,10
"656008",364,"LC",42.75,-1.66667,"Temperate","Terrestrial","Exploitation",1994,3
"656009",363,"LC",42.33333,-3.66667,"Temperate","Terrestrial","Exploitation",1994,12
"656010",362,"LC",43.83333,6.25,"Temperate","Terrestrial","Exploitation",1994,14
"656012",360,"CR",30.08333,-9.66667,"Temperate","Terrestrial","Habitat loss",1994,46
"656023",349,"LC",59.37611,24.43417,"Temperate","Terrestrial","Habitat loss",1994,2e+06
"656024",348,"LC",53.27222,7.17472,"Temperate","Terrestrial","Habitat loss",1994,2750000
"656034",338,"LC",57,25,"Temperate","Terrestrial","Habitat loss",1994,0.67
"656037",335,"LC",53.086,14.337,"Temperate","Terrestrial","Habitat loss",1994,169
"656038",334,"LC",49.22083,12.61278,"Temperate","Terrestrial","Habitat loss",1994,1
"656039",333,"LC",53.2,8.783,"Temperate","Terrestrial","Habitat loss",1994,2
"656040",332,"LC",47.667,11.217,"Temperate","Terrestrial","Habitat loss",1994,38
"656041",331,"LC",52.45,9.267,"Temperate","Terrestrial","Habitat loss",1994,0
"656042",330,"LC",50.46667,10,"Temperate","Terrestrial","Habitat loss",1994,13
"656043",329,"LC",53.633,9.6,"Temperate","Terrestrial","Habitat loss",1994,5
"656045",327,"LC",53.467,7.35,"Temperate","Terrestrial","Habitat loss",1994,0
"656046",326,"LC",53.11667,9.05,"Temperate","Terrestrial","Habitat loss",1994,6
"656047",325,"LC",53.117,8.95,"Temperate","Terrestrial","Habitat loss",1994,6
"656062",310,"LC",53.27222,7.17472,"Temperate","Terrestrial","Habitat degradation/change",1994,1400000
"656078",294,"LC",53.87083,9.00389,"Temperate","Terrestrial","Habitat degradation/change",1994,78
"656082",290,"LC",78,20,"Temperate","Terrestrial","Exploitation",1994,5800
"656083",288,"LC",54.25,13.58333,"Temperate","Terrestrial","Exploitation",1994,212
"656090",281,"LC",51.5,10.5,"Temperate","Terrestrial","Habitat degradation/change",1994,175000
"656095",276,"LC",51.5,10.5,"Temperate","Terrestrial","Exploitation",1994,212500
"656096",275,"LC",59.37611,24.43417,"Temperate","Terrestrial","Habitat degradation/change",1994,3500000
"656098",273,"LC",56,10,"Temperate","Terrestrial","Habitat degradation/change",1994,1300000
"656099",272,"LC",52.5,5.75,"Temperate","Terrestrial","Habitat degradation/change",1994,60000
"656117",254,"CR",18.23278,-66.4575,"Tropical","Terrestrial","Habitat loss",1994,38
"656124",247,"EN",18.08722,-67.97194,"Tropical","Terrestrial","Invasive spp/genes",1994,267
"656126",245,"EN",18.17028,-67.97194,"Tropical","Terrestrial","Invasive spp/genes",1994,25
"656172",199,"VU",25.77056,-171.7375,"Tropical","Terrestrial","Climate change",1994,14600
"656173",198,"CR",19.59278,-155.51972,"Tropical","Terrestrial","Invasive spp/genes",1994,2000
"656181",190,"CR",-37,144,"Tropical","Terrestrial","Habitat loss",1994,36
"656185",186,"EN",-38.48333,175.08333,"Tropical","Terrestrial","Habitat loss",1994,65
"656205",166,"EN",6.75,39.75,"Tropical","Terrestrial","Habitat loss",1994,600
"656206",165,"EN",7.16667,39.75,"Tropical","Terrestrial","Habitat degradation/change",1994,0
"656260",111,"VU",-23.83333,31.5,"Tropical","Terrestrial","Habitat loss",1994,7900
"656302",69,"LC",11.33333,14.66667,"Tropical","Terrestrial","Habitat loss",1994,1680
"656311",60,"LC",-2.33333,34.83333,"Tropical","Terrestrial","Disease",1994,917000
"656323",48,"NT",4.15972,25.49889,"Tropical","Terrestrial","Exploitation",1994,32
"656329",42,"EN",7,39.75,"Tropical","Terrestrial","Habitat degradation/change",1994,0.045
"656346",25,"EN",-20.40444,57.42667,"Tropical","Terrestrial","Habitat loss",1994,23
"656366",5,"EN",-20.3,57.58333,"Tropical","Terrestrial","Pollution",1994,40
"670491",467,"LC",53.87083,9.00389,"Temperate","Freshwater","Habitat degradation/change",1995,87
"670492",466,"LC",53.87083,9.00389,"Temperate","Freshwater","Habitat degradation/change",1995,75
"670551",407,"VU",47,20,"Temperate","Terrestrial","Habitat degradation/change",1995,1093
"670552",406,"VU",53.5,12,"Temperate","Terrestrial","Habitat degradation/change",1995,100
"670592",366,"LC",38,-1.5,"Temperate","Terrestrial","Exploitation",1995,17
"670598",360,"CR",30.08333,-9.66667,"Temperate","Terrestrial","Habitat loss",1995,50
"670609",349,"LC",59.37611,24.43417,"Temperate","Terrestrial","Habitat loss",1995,1750000
"670610",348,"LC",53.27222,7.17472,"Temperate","Terrestrial","Habitat loss",1995,2500000
"670620",338,"LC",57,25,"Temperate","Terrestrial","Habitat loss",1995,1.6
"670623",335,"LC",53.086,14.337,"Temperate","Terrestrial","Habitat loss",1995,174
"670624",334,"LC",49.22083,12.61278,"Temperate","Terrestrial","Habitat loss",1995,2
"670625",333,"LC",53.2,8.783,"Temperate","Terrestrial","Habitat loss",1995,3
"670626",332,"LC",47.667,11.217,"Temperate","Terrestrial","Habitat loss",1995,42
"670627",331,"LC",52.45,9.267,"Temperate","Terrestrial","Habitat loss",1995,9
"670628",330,"LC",50.46667,10,"Temperate","Terrestrial","Habitat loss",1995,3
"670629",329,"LC",53.633,9.6,"Temperate","Terrestrial","Habitat loss",1995,5
"670630",328,"LC",53.2,8.783,"Temperate","Terrestrial","Habitat loss",1995,30
"670631",327,"LC",53.467,7.35,"Temperate","Terrestrial","Habitat loss",1995,0
"670632",326,"LC",53.11667,9.05,"Temperate","Terrestrial","Habitat loss",1995,17
"670633",325,"LC",53.117,8.95,"Temperate","Terrestrial","Habitat loss",1995,9
"670634",324,"LC",54.352599,9.337284,"Temperate","Terrestrial","Habitat loss",1995,8
"670648",310,"LC",53.27222,7.17472,"Temperate","Terrestrial","Habitat degradation/change",1995,1250000
"670664",294,"LC",53.87083,9.00389,"Temperate","Terrestrial","Habitat degradation/change",1995,53
"670668",290,"LC",78,20,"Temperate","Terrestrial","Exploitation",1995,5400
"670669",288,"LC",54.25,13.58333,"Temperate","Terrestrial","Exploitation",1995,287
"670677",280,"VU",58.54111,41.77306,"Temperate","Terrestrial","Habitat loss",1995,50000
"670682",275,"LC",59.37611,24.43417,"Temperate","Terrestrial","Habitat degradation/change",1995,3300000
"670684",273,"LC",56,10,"Temperate","Terrestrial","Habitat degradation/change",1995,1220000
"670685",272,"LC",52.5,5.75,"Temperate","Terrestrial","Habitat degradation/change",1995,50000
"670694",263,"VU",18.08722,-67.97194,"Tropical","Terrestrial","Invasive spp/genes",1995,1155
"670698",259,"EN",-26.41667,-48.83333,"Tropical","Terrestrial","Habitat loss",1995,400
"670703",254,"CR",18.23278,-66.4575,"Tropical","Terrestrial","Habitat loss",1995,33
"670710",247,"EN",18.08722,-67.97194,"Tropical","Terrestrial","Invasive spp/genes",1995,153
"670711",246,"EN",18.01528,-66.25417,"Tropical","Terrestrial","Invasive spp/genes",1995,41
"670712",245,"EN",18.17028,-67.97194,"Tropical","Terrestrial","Invasive spp/genes",1995,23
"670726",231,"EN",26.35722,117.19778,"Tropical","Terrestrial","Exploitation",1995,20
"670727",230,"NT",21.33306,70.79167,"Tropical","Terrestrial","Habitat degradation/change",1995,268
"670728",229,"VU",21.33306,70.79167,"Tropical","Terrestrial","Habitat loss",1995,304
"670758",199,"VU",25.77056,-171.7375,"Tropical","Terrestrial","Climate change",1995,14600
"670759",198,"CR",19.59278,-155.51972,"Tropical","Terrestrial","Invasive spp/genes",1995,2000
"670767",190,"CR",-37,144,"Tropical","Terrestrial","Habitat loss",1995,40
"670770",187,"NT",-29.03333,167.95,"Tropical","Terrestrial","Invasive spp/genes",1995,44
"670771",186,"EN",-38.48333,175.08333,"Tropical","Terrestrial","Habitat loss",1995,70
"670772",185,"NT",-40.86667,174.9,"Tropical","Terrestrial","Invasive spp/genes",1995,1105
"670773",184,"VU",-41.33333,172.33333,"Tropical","Terrestrial","Invasive spp/genes",1995,11100
"670774",183,"VU",-38.68333,176.08333,"Tropical","Terrestrial","Invasive spp/genes",1995,38000
"670775",182,"VU",-45.33333,167.85,"Tropical","Terrestrial","Invasive spp/genes",1995,7400
"670776",181,"VU",-47,168,"Tropical","Terrestrial","Invasive spp/genes",1995,20000
"670787",170,"LC",9,-4,"Tropical","Terrestrial","Exploitation",1995,2600
"670792",165,"EN",7.16667,39.75,"Tropical","Terrestrial","Habitat degradation/change",1995,0
"670815",142,"LC",9,-4,"Tropical","Terrestrial","Exploitation",1995,8200
"670816",141,"LC",4.15972,29.49889,"Tropical","Terrestrial","Exploitation",1995,26180
"670817",140,"LC",9,-4,"Tropical","Terrestrial","Exploitation",1995,1000
"670826",131,"LC",9,-4,"Tropical","Terrestrial","Exploitation",1995,2500
"670835",122,"LC",9,-4,"Tropical","Terrestrial","Exploitation",1995,4300
"670838",119,"EN",-23.83333,31.5,"Tropical","Terrestrial","Habitat degradation/change",1995,500
"670846",111,"VU",-23.83333,31.5,"Tropical","Terrestrial","Habitat loss",1995,8100
"670849",108,"LC",9,-4,"Tropical","Terrestrial","Exploitation",1995,9400
"670852",105,"LC",9,-4,"Tropical","Terrestrial","Exploitation",1995,400
"670858",99,"LC",9,-4,"Tropical","Terrestrial","Exploitation",1995,1200
"670874",83,"VU",-30,26,"Tropical","Terrestrial","Invasive spp/genes",1995,910
"670880",77,"NT",0.33333,32.58333,"Tropical","Terrestrial","Habitat loss",1995,100
"670906",51,"EN",-1.89972,40.11833,"Tropical","Terrestrial","Habitat loss",1995,700
"670912",45,"LC",9,-4,"Tropical","Terrestrial","Exploitation",1995,5200
"670913",44,"LC",9,-4,"Tropical","Terrestrial","Exploitation",1995,2300
"670915",42,"EN",7,39.75,"Tropical","Terrestrial","Habitat degradation/change",1995,0.025
"670923",34,"LC",9,-3.5,"Tropical","Terrestrial","Exploitation",1995,5400
"670932",25,"EN",-20.40444,57.42667,"Tropical","Terrestrial","Habitat loss",1995,35
"670952",5,"EN",-20.3,57.58333,"Tropical","Terrestrial","Pollution",1995,52
"685077",467,"LC",53.87083,9.00389,"Temperate","Freshwater","Habitat degradation/change",1996,75
"685078",466,"LC",53.87083,9.00389,"Temperate","Freshwater","Habitat degradation/change",1996,87
"685137",407,"VU",47,20,"Temperate","Terrestrial","Habitat degradation/change",1996,1223
"685178",366,"LC",38,-1.5,"Temperate","Terrestrial","Exploitation",1996,17
"685184",360,"CR",30.08333,-9.66667,"Temperate","Terrestrial","Habitat loss",1996,54
"685195",349,"LC",59.37611,24.43417,"Temperate","Terrestrial","Habitat loss",1996,1700000
"685196",348,"LC",53.27222,7.17472,"Temperate","Terrestrial","Habitat loss",1996,2500000
"685206",338,"LC",57,25,"Temperate","Terrestrial","Habitat loss",1996,1.24
"685209",335,"LC",53.086,14.337,"Temperate","Terrestrial","Habitat loss",1996,127
"685210",334,"LC",49.22083,12.61278,"Temperate","Terrestrial","Habitat loss",1996,1
"685211",333,"LC",53.2,8.783,"Temperate","Terrestrial","Habitat loss",1996,0
"685212",332,"LC",47.667,11.217,"Temperate","Terrestrial","Habitat loss",1996,44
"685213",331,"LC",52.45,9.267,"Temperate","Terrestrial","Habitat loss",1996,0
"685214",330,"LC",50.46667,10,"Temperate","Terrestrial","Habitat loss",1996,0
"685215",329,"LC",53.633,9.6,"Temperate","Terrestrial","Habitat loss",1996,2
"685216",328,"LC",53.2,8.783,"Temperate","Terrestrial","Habitat loss",1996,1
"685217",327,"LC",53.467,7.35,"Temperate","Terrestrial","Habitat loss",1996,0
"685218",326,"LC",53.11667,9.05,"Temperate","Terrestrial","Habitat loss",1996,1
"685219",325,"LC",53.117,8.95,"Temperate","Terrestrial","Habitat loss",1996,3
"685234",310,"LC",53.27222,7.17472,"Temperate","Terrestrial","Habitat degradation/change",1996,1100000
"685250",294,"LC",53.87083,9.00389,"Temperate","Terrestrial","Habitat degradation/change",1996,57
"685253",291,"LC",78,20,"Temperate","Terrestrial","Disease",1996,5000
"685255",288,"LC",54.25,13.58333,"Temperate","Terrestrial","Exploitation",1996,387
"685256",287,"LC",43.75,20.75,"Temperate","Terrestrial","Exploitation",1996,25
"685268",275,"LC",59.37611,24.43417,"Temperate","Terrestrial","Habitat degradation/change",1996,3300000
"685270",273,"LC",56,10,"Temperate","Terrestrial","Habitat degradation/change",1996,1200000
"685271",272,"LC",52.5,5.75,"Temperate","Terrestrial","Habitat degradation/change",1996,40000
"685310",233,"EN",-1.06667,104.2,"Tropical","Terrestrial","Exploitation",1996,450
"685340",203,"CR",27.15889,77.50861,"Tropical","Terrestrial","Pollution",1996,150
"685344",199,"VU",25.77056,-171.7375,"Tropical","Terrestrial","Climate change",1996,15500
"685345",198,"CR",19.59278,-155.51972,"Tropical","Terrestrial","Invasive spp/genes",1996,3100
"685355",188,"EN",-42,147,"Tropical","Terrestrial","Habitat loss",1996,940
"685357",186,"EN",-38.48333,175.08333,"Tropical","Terrestrial","Habitat loss",1996,88
"685363",180,"NE",-19.84806,57.78083,"Tropical","Terrestrial","Invasive spp/genes",1996,86.77
"685364",179,"NE",-19.84806,57.78083,"Tropical","Terrestrial","Invasive spp/genes",1996,28.14
"685365",178,"EN",-19.84806,57.78083,"Tropical","Terrestrial","Invasive spp/genes",1996,4.7
"685367",176,"VU",-19.84806,57.78083,"Tropical","Terrestrial","Invasive spp/genes",1996,94.31
"685368",175,"EN",-19.84806,57.78083,"Tropical","Terrestrial","Invasive spp/genes",1996,1.7
"685378",165,"EN",7.16667,39.75,"Tropical","Terrestrial","Habitat degradation/change",1996,0
"685387",156,"LC",2,33,"Tropical","Terrestrial","Habitat loss",1996,500
"685432",111,"VU",-23.83333,31.5,"Tropical","Terrestrial","Habitat loss",1996,8300
"685452",91,"LC",-2.33333,34.83333,"Tropical","Terrestrial","Exploitation",1996,6170
"685477",66,"CR",1,38,"Tropical","Terrestrial","Disease",1996,1500
"685490",53,"LC",0.56667,30.36667,"Tropical","Terrestrial","Habitat loss",1996,2
"685500",43,"EN",7,39.75,"Tropical","Terrestrial","Habitat degradation/change",1996,0.22
"685501",42,"EN",7,39.75,"Tropical","Terrestrial","Habitat degradation/change",1996,0.09
"685504",39,"LC",2,33,"Tropical","Terrestrial","Habitat loss",1996,2600
"685518",25,"EN",-20.40444,57.42667,"Tropical","Terrestrial","Habitat loss",1996,54
"685538",5,"EN",-20.3,57.58333,"Tropical","Terrestrial","Pollution",1996,58
"699663",467,"LC",53.87083,9.00389,"Temperate","Freshwater","Habitat degradation/change",1997,87
"699664",466,"LC",53.87083,9.00389,"Temperate","Freshwater","Habitat degradation/change",1997,87
"699723",407,"VU",47,20,"Temperate","Terrestrial","Habitat degradation/change",1997,1109
"699764",366,"LC",38,-1.5,"Temperate","Terrestrial","Exploitation",1997,17
"699770",360,"CR",30.08333,-9.66667,"Temperate","Terrestrial","Habitat loss",1997,32
"699781",349,"LC",59.37611,24.43417,"Temperate","Terrestrial","Habitat loss",1997,1650000
"699782",348,"LC",53.27222,7.17472,"Temperate","Terrestrial","Habitat loss",1997,2600000
"699792",338,"LC",57,25,"Temperate","Terrestrial","Habitat loss",1997,1.09
"699795",335,"LC",53.086,14.337,"Temperate","Terrestrial","Habitat loss",1997,143
"699796",334,"LC",49.22083,12.61278,"Temperate","Terrestrial","Habitat loss",1997,0
"699797",333,"LC",53.2,8.783,"Temperate","Terrestrial","Habitat loss",1997,0
"699798",332,"LC",47.667,11.217,"Temperate","Terrestrial","Habitat loss",1997,34
"699799",331,"LC",52.45,9.267,"Temperate","Terrestrial","Habitat loss",1997,3
"699800",330,"LC",50.46667,10,"Temperate","Terrestrial","Habitat loss",1997,8
"699801",329,"LC",53.633,9.6,"Temperate","Terrestrial","Habitat loss",1997,2
"699802",328,"LC",53.2,8.783,"Temperate","Terrestrial","Habitat loss",1997,5
"699803",327,"LC",53.467,7.35,"Temperate","Terrestrial","Habitat loss",1997,1
"699804",326,"LC",53.11667,9.05,"Temperate","Terrestrial","Habitat loss",1997,8
"699805",325,"LC",53.117,8.95,"Temperate","Terrestrial","Habitat loss",1997,8
"699820",310,"LC",53.27222,7.17472,"Temperate","Terrestrial","Habitat degradation/change",1997,1100000
"699836",294,"LC",53.87083,9.00389,"Temperate","Terrestrial","Habitat degradation/change",1997,71
"699841",288,"LC",54.25,13.58333,"Temperate","Terrestrial","Exploitation",1997,200
"699854",275,"LC",59.37611,24.43417,"Temperate","Terrestrial","Habitat degradation/change",1997,3500000
"699856",273,"LC",56,10,"Temperate","Terrestrial","Habitat degradation/change",1997,1180000
"699857",272,"LC",52.5,5.75,"Temperate","Terrestrial","Habitat degradation/change",1997,50000
"699869",260,"VU",10,-84,"Tropical","Terrestrial","Habitat loss",1997,3750
"699875",254,"CR",18.23278,-66.4575,"Tropical","Terrestrial","Habitat loss",1997,40
"699896",233,"EN",-1.06667,104.2,"Tropical","Terrestrial","Exploitation",1997,450
"699897",232,"EN",3.11667,101.68333,"Tropical","Terrestrial","Habitat loss",1997,625
"699926",203,"CR",27.15889,77.50861,"Tropical","Terrestrial","Pollution",1997,25
"699930",199,"VU",25.77056,-171.7375,"Tropical","Terrestrial","Climate change",1997,13705
"699931",198,"CR",19.59278,-155.51972,"Tropical","Terrestrial","Invasive spp/genes",1997,4100
"699942",187,"NT",-29.03333,167.95,"Tropical","Terrestrial","Invasive spp/genes",1997,69
"699960",169,"LC",7.16667,39.71667,"Tropical","Terrestrial","Habitat degradation/change",1997,0.25
"699964",165,"EN",7.16667,39.75,"Tropical","Terrestrial","Habitat degradation/change",1997,0
"699965",164,"EN",7.16667,39.75,"Tropical","Terrestrial","Habitat degradation/change",1997,0
"699966",163,"EN",7.16667,39.71667,"Tropical","Terrestrial","Habitat degradation/change",1997,3
"699970",159,"LC",-3,38.66667,"Tropical","Terrestrial","Disease",1997,760
"699976",153,"LC",13,-13,"Tropical","Terrestrial","Exploitation",1997,100
"699977",152,"LC",-23.83333,31.5,"Tropical","Terrestrial","Disease",1997,19500
"699985",144,"LC",-3,38.66667,"Tropical","Terrestrial","Disease",1997,5490
"699990",139,"LC",7.16667,39.71667,"Tropical","Terrestrial","Habitat degradation/change",1997,0.05
"699991",138,"LC",7.16667,39.71667,"Tropical","Terrestrial","Habitat degradation/change",1997,2.8
"700011",118,"EN",-19,29,"Tropical","Terrestrial","Exploitation",1997,750
"700018",111,"VU",-23.83333,31.5,"Tropical","Terrestrial","Habitat loss",1997,8300
"700075",54,"LC",-30,26,"Tropical","Terrestrial","Invasive spp/genes",1997,9500
"700086",43,"EN",7,39.75,"Tropical","Terrestrial","Habitat degradation/change",1997,0.26
"700087",42,"EN",7,39.75,"Tropical","Terrestrial","Habitat degradation/change",1997,0.12
"700104",25,"EN",-20.40444,57.42667,"Tropical","Terrestrial","Habitat loss",1997,95
"700124",5,"EN",-20.3,57.58333,"Tropical","Terrestrial","Pollution",1997,61
"714249",467,"LC",53.87083,9.00389,"Temperate","Freshwater","Habitat degradation/change",1998,87
"714250",466,"LC",53.87083,9.00389,"Temperate","Freshwater","Habitat degradation/change",1998,87
"714309",407,"VU",47,20,"Temperate","Terrestrial","Habitat degradation/change",1998,1045
"714356",360,"CR",30.08333,-9.66667,"Temperate","Terrestrial","Habitat loss",1998,33
"714378",338,"LC",57,25,"Temperate","Terrestrial","Habitat loss",1998,1.9
"714381",335,"LC",53.086,14.337,"Temperate","Terrestrial","Habitat loss",1998,60
"714382",334,"LC",49.22083,12.61278,"Temperate","Terrestrial","Habitat loss",1998,1
"714383",333,"LC",53.2,8.783,"Temperate","Terrestrial","Habitat loss",1998,13
"714384",332,"LC",47.667,11.217,"Temperate","Terrestrial","Habitat loss",1998,31
"714385",331,"LC",52.45,9.267,"Temperate","Terrestrial","Habitat loss",1998,9
"714386",330,"LC",50.46667,10,"Temperate","Terrestrial","Habitat loss",1998,20
"714387",329,"LC",53.633,9.6,"Temperate","Terrestrial","Habitat loss",1998,1
"714388",328,"LC",53.2,8.783,"Temperate","Terrestrial","Habitat loss",1998,55
"714389",327,"LC",53.467,7.35,"Temperate","Terrestrial","Habitat loss",1998,6
"714390",326,"LC",53.11667,9.05,"Temperate","Terrestrial","Habitat loss",1998,20
"714391",325,"LC",53.117,8.95,"Temperate","Terrestrial","Habitat loss",1998,14
"714392",324,"LC",54.352599,9.337284,"Temperate","Terrestrial","Habitat loss",1998,18
"714422",294,"LC",53.87083,9.00389,"Temperate","Terrestrial","Habitat degradation/change",1998,93
"714427",288,"LC",54.25,13.58333,"Temperate","Terrestrial","Exploitation",1998,162
"714461",254,"CR",18.23278,-66.4575,"Tropical","Terrestrial","Habitat loss",1998,40
"714480",235,"CR",11.5,106.66667,"Tropical","Terrestrial","Habitat loss",1998,6
"714482",233,"EN",-1.06667,104.2,"Tropical","Terrestrial","Exploitation",1998,450
"714483",232,"EN",3.11667,101.68333,"Tropical","Terrestrial","Habitat loss",1998,500
"714512",203,"CR",27.15889,77.50861,"Tropical","Terrestrial","Pollution",1998,20
"714514",201,"EN",-9.38333,-140.05,"Tropical","Terrestrial","Invasive spp/genes",1998,0
"714516",199,"VU",25.77056,-171.7375,"Tropical","Terrestrial","Climate change",1998,14880
"714517",198,"CR",19.59278,-155.51972,"Tropical","Terrestrial","Invasive spp/genes",1998,4800
"714545",170,"LC",9,-4,"Tropical","Terrestrial","Exploitation",1998,900
"714573",142,"LC",9,-4,"Tropical","Terrestrial","Exploitation",1998,4600
"714575",140,"LC",9,-4,"Tropical","Terrestrial","Exploitation",1998,300
"714584",131,"LC",9,-4,"Tropical","Terrestrial","Exploitation",1998,700
"714592",123,"VU",-0.25,30.18639,"Tropical","Terrestrial","Exploitation",1998,29
"714593",122,"LC",9,-4,"Tropical","Terrestrial","Exploitation",1998,2200
"714604",111,"VU",-23.83333,31.5,"Tropical","Terrestrial","Habitat loss",1998,9000
"714607",108,"LC",9,-4,"Tropical","Terrestrial","Exploitation",1998,4400
"714610",105,"LC",9,-4,"Tropical","Terrestrial","Exploitation",1998,300
"714616",99,"LC",9,-4,"Tropical","Terrestrial","Exploitation",1998,500
"714627",88,"LC",16,8,"Tropical","Terrestrial","Exploitation",1998,68
"714632",83,"VU",-30,26,"Tropical","Terrestrial","Invasive spp/genes",1998,1200
"714645",70,"LC",7,21,"Tropical","Terrestrial","Exploitation",1998,1500
"714670",45,"LC",9,-4,"Tropical","Terrestrial","Exploitation",1998,1600
"714671",44,"LC",9,-4,"Tropical","Terrestrial","Exploitation",1998,500
"714681",34,"LC",9,-3.5,"Tropical","Terrestrial","Exploitation",1998,5200
"714690",25,"EN",-20.40444,57.42667,"Tropical","Terrestrial","Habitat loss",1998,100
"714709",6,"CR",11.76667,42.65806,"Tropical","Terrestrial","Habitat loss",1998,750
"728835",467,"LC",53.87083,9.00389,"Temperate","Freshwater","Habitat degradation/change",1999,87
"728836",466,"LC",53.87083,9.00389,"Temperate","Freshwater","Habitat degradation/change",1999,100
"728895",407,"VU",47,20,"Temperate","Terrestrial","Habitat degradation/change",1999,1027
"728942",360,"CR",30.08333,-9.66667,"Temperate","Terrestrial","Habitat loss",1999,32
"728964",338,"LC",57,25,"Temperate","Terrestrial","Habitat loss",1999,1.64
"728967",335,"LC",53.086,14.337,"Temperate","Terrestrial","Habitat loss",1999,118
"728968",334,"LC",49.22083,12.61278,"Temperate","Terrestrial","Habitat loss",1999,22
"728969",333,"LC",53.2,8.783,"Temperate","Terrestrial","Habitat loss",1999,21
"728970",332,"LC",47.667,11.217,"Temperate","Terrestrial","Habitat loss",1999,67
"728971",331,"LC",52.45,9.267,"Temperate","Terrestrial","Habitat loss",1999,8
"728972",330,"LC",50.46667,10,"Temperate","Terrestrial","Habitat loss",1999,14
"728973",329,"LC",53.633,9.6,"Temperate","Terrestrial","Habitat loss",1999,2
"728974",328,"LC",53.2,8.783,"Temperate","Terrestrial","Habitat loss",1999,20
"728975",327,"LC",53.467,7.35,"Temperate","Terrestrial","Habitat loss",1999,1
"728976",326,"LC",53.11667,9.05,"Temperate","Terrestrial","Habitat loss",1999,17
"728977",325,"LC",53.117,8.95,"Temperate","Terrestrial","Habitat loss",1999,12
"728978",324,"LC",54.352599,9.337284,"Temperate","Terrestrial","Habitat loss",1999,5
"729008",294,"LC",53.87083,9.00389,"Temperate","Terrestrial","Habitat degradation/change",1999,100
"729013",288,"LC",54.25,13.58333,"Temperate","Terrestrial","Exploitation",1999,150
"729066",235,"CR",11.5,106.66667,"Tropical","Terrestrial","Habitat loss",1999,7.5
"729098",203,"CR",27.15889,77.50861,"Tropical","Terrestrial","Pollution",1999,0
"729103",198,"CR",19.59278,-155.51972,"Tropical","Terrestrial","Invasive spp/genes",1999,3980
"729183",118,"EN",-19,29,"Tropical","Terrestrial","Exploitation",1999,700
"729190",111,"VU",-23.83333,31.5,"Tropical","Terrestrial","Habitat loss",1999,9300
"743392",500,"LC",59,26,"Temperate","Terrestrial","Exploitation",2000,9100
"743395",493,"LC",60,100,"Temperate","Terrestrial","Exploitation",2000,297000
"743481",407,"VU",47,20,"Temperate","Terrestrial","Habitat degradation/change",2000,1106
"743550",338,"LC",57,25,"Temperate","Terrestrial","Habitat loss",2000,0.82
"743553",335,"LC",53.086,14.337,"Temperate","Terrestrial","Habitat loss",2000,50
"743554",334,"LC",49.22083,12.61278,"Temperate","Terrestrial","Habitat loss",2000,11
"743555",333,"LC",53.2,8.783,"Temperate","Terrestrial","Habitat loss",2000,8
"743556",332,"LC",47.667,11.217,"Temperate","Terrestrial","Habitat loss",2000,35
"743557",331,"LC",52.45,9.267,"Temperate","Terrestrial","Habitat loss",2000,4
"743558",330,"LC",50.46667,10,"Temperate","Terrestrial","Habitat loss",2000,27
"743559",329,"LC",53.633,9.6,"Temperate","Terrestrial","Habitat loss",2000,0
"743560",328,"LC",53.2,8.783,"Temperate","Terrestrial","Habitat loss",2000,11
"743561",327,"LC",53.467,7.35,"Temperate","Terrestrial","Habitat loss",2000,1
"743562",326,"LC",53.11667,9.05,"Temperate","Terrestrial","Habitat loss",2000,11
"743563",325,"LC",53.117,8.95,"Temperate","Terrestrial","Habitat loss",2000,16
"743564",324,"LC",54.352599,9.337284,"Temperate","Terrestrial","Habitat loss",2000,6
"743579",309,"LC",64.41667,23.25,"Temperate","Freshwater","Invasive spp/genes",2000,105
"743599",288,"LC",54.25,13.58333,"Temperate","Terrestrial","Exploitation",2000,187
"743632",255,"CR",18.23278,-66.4575,"Tropical","Terrestrial","Habitat loss",2000,40
"743683",204,"CR",31.55,74.35,"Tropical","Terrestrial","Pollution",2000,2430
"743684",203,"CR",27.15889,77.50861,"Tropical","Terrestrial","Pollution",2000,0
"743689",198,"CR",19.59278,-155.51972,"Tropical","Terrestrial","Invasive spp/genes",2000,2800
"743698",189,"CR",-38.4,142.23333,"Tropical","Terrestrial","Habitat loss",2000,100
"743768",119,"EN",-23.83333,31.5,"Tropical","Terrestrial","Habitat degradation/change",2000,350
"743776",111,"VU",-23.83333,31.5,"Tropical","Terrestrial","Habitat loss",2000,8500
"743814",73,"LC",-30,26,"Tropical","Terrestrial","Habitat loss",2000,1900
